"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2024","14.80","15.00","15.00","14.03","684.00K","-2.57%"
"08/02/2024","15.19","14.81","15.19","14.81","467.83K","2.64%"
"08/01/2024","14.80","14.85","14.95","14.65","1.15M","0.68%"
"07/31/2024","14.70","15.12","15.44","14.64","810.58K","-2.65%"
"07/30/2024","15.10","15.06","15.60","14.80","2.19M","0.67%"
"07/29/2024","15.00","14.70","15.23","14.42","1.36M","4.02%"
"07/26/2024","14.42","15.00","15.85","14.42","3.64M","-3.22%"
"07/25/2024","14.90","15.01","15.40","14.80","3.16M","0.34%"
"07/24/2024","14.85","14.97","15.20","14.85","1.15M","1.02%"
"07/23/2024","14.70","15.00","15.25","14.65","1.16M","-1.87%"
"07/22/2024","14.98","15.50","15.55","14.74","1.69M","-3.35%"
"07/19/2024","15.50","15.91","16.13","15.42","2.14M","-2.52%"
"07/18/2024","15.90","15.76","16.20","15.76","1.62M","-1.24%"
"07/15/2024","16.10","16.06","16.25","15.75","2.37M","1.90%"
"07/12/2024","15.80","16.03","16.39","15.50","3.68M","-1.25%"
"07/11/2024","16.00","16.24","16.49","15.75","1.94M","-1.54%"
"07/10/2024","16.25","15.62","16.66","15.40","5.98M","4.77%"
"07/09/2024","15.51","16.61","16.61","14.89","5.16M","-5.31%"
"07/08/2024","16.38","16.01","16.60","15.50","4.15M","4.00%"
"07/05/2024","15.75","15.85","16.18","15.10","9.05M","3.69%"
"07/04/2024","15.19","13.93","15.19","13.93","8.66M","9.68%"
"07/03/2024","13.85","13.28","14.23","13.12","4.67M","5.73%"
"07/02/2024","13.10","12.90","13.29","12.90","1.57M","1.95%"
"07/01/2024","12.85","12.70","13.20","12.70","809.86K","1.02%"
"06/28/2024","12.72","12.95","13.02","12.52","363.53K","-1.85%"
"06/27/2024","12.96","12.95","13.13","12.86","221.65K","1.25%"
"06/26/2024","12.80","13.40","13.55","12.80","1.87M","-4.48%"
"06/25/2024","13.40","13.35","13.61","13.15","1.55M","-0.74%"
"06/24/2024","13.50","13.18","13.53","12.91","2.10M","3.05%"
"06/21/2024","13.10","13.33","13.50","12.80","1.80M","-0.76%"
"06/20/2024","13.20","13.30","13.45","13.00","834.47K","1.54%"
"06/14/2024","13.00","12.99","13.30","12.50","1.81M","0.78%"
"06/13/2024","12.90","12.24","12.95","11.94","2.50M","6.61%"
"06/12/2024","12.10","11.60","12.45","11.50","3.12M","5.13%"
"06/11/2024","11.51","12.20","12.24","11.25","1.26M","-2.87%"
"06/10/2024","11.85","12.34","12.45","11.79","312.26K","-1.50%"
"06/07/2024","12.03","12.30","12.40","11.75","921.12K","-2.20%"
"06/06/2024","12.30","12.52","12.69","12.26","821.68K","-1.20%"
"06/05/2024","12.45","12.84","12.84","12.45","801.54K","-0.40%"
"06/04/2024","12.50","13.10","13.24","12.45","1.74M","-4.58%"
"06/03/2024","13.10","13.29","13.30","12.99","1.12M","0.38%"
"05/31/2024","13.05","13.02","13.33","13.00","1.35M","-0.08%"
"05/30/2024","13.06","13.40","13.49","13.00","963.10K","-1.43%"
"05/29/2024","13.25","13.49","13.53","12.90","3.12M","-0.23%"
"05/27/2024","13.28","14.20","14.20","13.25","6.36M","-5.08%"
"05/24/2024","13.99","14.48","14.80","13.87","3.55M","-2.71%"
